task,split,kind,layer,head,bonded_share,self_share,dummy_share,dist_corr_spearman,entropy,n_molecules
bbbp,scaffold,self_attn,0,0,0.08178568631410599,0.0651962161064148,0.10086389631032944,0.0272871135629893,2.1970040798187256,388
bbbp,scaffold,self_attn,0,1,0.05622819438576698,0.04829927906394005,0.35346946120262146,-0.006158816787531453,1.4902033805847168,388
bbbp,scaffold,self_attn,0,2,0.07044027000665665,0.05618777126073837,0.005583119112998247,-0.02146325490301113,1.4027138948440552,388
bbbp,scaffold,self_attn,0,3,0.03760803863406181,0.016787031665444374,0.3297843039035797,-0.16270434174799958,1.5471436977386475,388
bbbp,scaffold,self_attn,1,0,0.07402540743350983,0.03580359369516373,0.01607903093099594,0.00021875195799280292,2.0014448165893555,388
bbbp,scaffold,self_attn,1,1,0.09520623832941055,0.043124716728925705,0.007982832379639149,0.05345394030860092,1.7368063926696777,388
bbbp,scaffold,self_attn,1,2,0.08764556050300598,0.044781796634197235,0.04462486132979393,-0.014242152550869113,2.059194326400757,388
bbbp,scaffold,self_attn,1,3,0.07323573529720306,0.04046183452010155,0.03872513398528099,-0.08766164924912977,1.9800182580947876,388
bbbp,scaffold,attn,0,0,0.33284759521484375,0.30727556347846985,0.03328508883714676,0.6029300278090699,2.1879587173461914,388
bbbp,scaffold,attn,0,1,0.32441362738609314,0.30169957876205444,0.11664492636919022,0.6668990321973852,2.0333003997802734,388
bbbp,scaffold,attn,0,2,0.32910358905792236,0.30430275201797485,0.0018424293957650661,0.6527311005696862,1.9991259574890137,388
bbbp,scaffold,attn,0,3,0.31826895475387573,0.29130053520202637,0.1088288277387619,0.612428853872947,2.0959677696228027,388
bbbp,scaffold,attn,1,0,0.3302867114543915,0.29757601022720337,0.00530608044937253,0.582840463257739,2.1658947467803955,388
bbbp,scaffold,attn,1,1,0.3372763395309448,0.2999919652938843,0.0026343348436057568,0.6367578635271524,2.0774030685424805,388
bbbp,scaffold,attn,1,2,0.33478137850761414,0.3005388081073761,0.014726203866302967,0.5519845178407705,2.1696865558624268,388
bbbp,scaffold,attn,1,3,0.3300260901451111,0.2991132140159607,0.01277929451316595,0.5304790920156004,2.169167995452881,388
