task,task_type,split,metric,ablation,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm,component,contribution,contribution_ci95_low,contribution_ci95_high
esol,reg,random,rmse,mat_nodistance,mat,0.39094930772686887,0.385448560809561,5,0.005500746917307842,-0.011676944095665005,0.02267843793028069,0.8890904977832701,0.4241919153523597,5.0,0.625,True,0.4241919153523597,0.625,False,False,False,False,3D distances,-0.005500746917307842,-0.02267843793028069,0.011676944095665005
esol,reg,random,rmse,mat_noattention,mat,0.45296068378080834,0.385448560809561,5,0.06751212297124734,0.02729275215955542,0.10773149378293925,4.660532961657893,0.00958574844325544,0.0,0.0625,True,0.02875724532976632,0.1875,True,False,True,False,self-attention,-0.06751212297124734,-0.10773149378293925,-0.02729275215955542
esol,reg,random,mae,mat_nograph,mat,0.3133968948353473,0.29381306355934095,5,0.01958383127600626,-0.009351171715847758,0.04851883426786027,1.8791576590676253,0.13341102772834318,0.0,0.0625,True,0.26682205545668636,0.1875,False,False,False,False,graph structure,-0.01958383127600626,-0.04851883426786027,0.009351171715847758
esol,reg,random,mae,mat_nodistance,mat,0.29764093219607346,0.29381306355934095,5,0.00382786863673249,-0.014678769222117609,0.02233450649558259,0.5742732537835723,0.5965333326362908,5.0,0.625,True,0.5965333326362908,0.625,False,False,False,False,3D distances,-0.00382786863673249,-0.02233450649558259,0.014678769222117609
esol,reg,random,mae,mat_noattention,mat,0.3444052638632309,0.29381306355934095,5,0.05059220030388989,0.015316372074771212,0.08586802853300857,3.9819466741527165,0.016374502256343425,0.0,0.0625,True,0.049123506769030274,0.1875,True,False,True,False,self-attention,-0.05059220030388989,-0.08586802853300857,-0.015316372074771212
esol,reg,random,r2,mat_nograph,mat,0.8240305684111988,0.8486095947293857,5,-0.024579026318186824,-0.06322318979089753,0.014065137154523882,-1.76591524253975,0.1521628811924426,0.0,0.0625,True,0.3043257623848852,0.1875,False,False,False,False,graph structure,0.024579026318186824,-0.014065137154523882,0.06322318979089753
esol,reg,random,r2,mat_nodistance,mat,0.8442001328914023,0.8486095947293857,5,-0.004409461837983297,-0.0178175795887337,0.008998655912767108,-0.9130758667405078,0.4128586088042969,5.0,0.625,True,0.4128586088042969,0.625,False,False,False,False,3D distances,0.004409461837983297,-0.008998655912767108,0.0178175795887337
esol,reg,random,r2,mat_noattention,mat,0.7902834118356512,0.8486095947293857,5,-0.05832618289373437,-0.09342474005802737,-0.02322762572944137,-4.61384906057982,0.009926874659506216,0.0,0.0625,True,0.029780623978518647,0.1875,True,False,True,False,self-attention,0.05832618289373437,0.02322762572944137,0.09342474005802737
esol,reg,scaffold,rmse,mat_nograph,mat,0.5242093975065565,0.49940691815870536,5,0.02480247934785119,-0.03924500073752518,0.08884995943322757,1.0751823848544197,0.3428235641316757,4.0,0.4375,True,1.0,1.0,False,False,False,False,graph structure,-0.02480247934785119,-0.08884995943322757,0.03924500073752518
esol,reg,scaffold,rmse,mat_nodistance,mat,0.493173056064767,0.49940691815870536,5,-0.006233862093938269,-0.04065973473637231,0.028192010548495777,-0.5027607020151128,0.6415520715335825,6.0,0.8125,False,1.0,1.0,False,False,False,False,3D distances,0.006233862093938269,-0.028192010548495777,0.04065973473637231
