task,task_type,model,metric,random_mean,scaffold_mean,gap,gap_ci95_low,gap_ci95_high,welch_t,welch_p,n_random,n_scaffold,scaffold_worse
bbbp,clf,mat_large_pretrained,roc_auc,0.860636905627454,0.8954648621484264,-0.03482795652097237,-0.07129955678603589,0.001643643744091157,-2.2044805487198884,0.05878923132881369,5,5,False
bbbp,clf,mat_large_pretrained,pr_auc,0.936984547849038,0.9599815479572195,-0.02299700010818151,-0.04192869176342068,-0.0040653084529423365,-2.838605648877802,0.02355891785860169,5,5,False
bbbp,clf,mat_large_pretrained,f1,0.9092213251592918,0.9131368605081109,-0.003915535348819166,-0.036794057867512345,0.028962987169874013,-0.28634911401462765,0.7835606409050611,5,5,False
bbbp,clf,mat_large_scratch,roc_auc,0.8477097571615531,0.8824551335110093,-0.03474537634945629,-0.06815054393429949,-0.0013402087646130906,-2.4119131906607914,0.04332665351599753,5,5,False
bbbp,clf,mat_large_scratch,pr_auc,0.9301137340852543,0.9492827336809565,-0.019168999595702174,-0.041479190716065255,0.0031411915246609065,-1.981386563620961,0.08287685043907962,5,5,False
bbbp,clf,mat_large_scratch,f1,0.8961427379837275,0.9009846717987472,-0.004841933815019739,-0.035415608003880106,0.025731740373840628,-0.39084582228364767,0.7098718416587773,5,5,False
esol,reg,mat_large_pretrained,rmse,0.5307556044361909,0.7552148372192414,-0.22445923278305058,-0.5005234316454266,0.051604966079325354,-2.1803844354939845,0.08863759134361841,5,5,True
esol,reg,mat_large_pretrained,mae,0.4140053870173112,0.6684108837496622,-0.25440549673235097,-0.5396928091446548,0.03088181567995285,-2.4294669711258186,0.06895808425591238,5,5,True
esol,reg,mat_large_pretrained,r2,0.6922349475796019,-0.2749346752677795,0.9671696228473814,0.07587490466185587,1.858464341032907,3.0006867810126723,0.03939442224224225,5,5,True
esol,reg,mat_large_scratch,rmse,0.5838451680229703,0.6069480990995396,-0.023102931076569355,-0.18841805216523783,0.14221219001209912,-0.38347155738172245,0.7203245712701372,5,5,True
esol,reg,mat_large_scratch,mae,0.4508330666591651,0.5229328094948481,-0.07209974283568299,-0.20483410073671293,0.06063461506534695,-1.462027426829764,0.21205007621469688,5,5,True
esol,reg,mat_large_scratch,r2,0.6126170334852873,0.23055171878406777,0.3820653147012195,0.13792403602588263,0.6262065933765564,4.204538019142782,0.011323116793570037,5,5,True
freesolv,reg,mat_large_pretrained,rmse,0.4037310828269957,0.4419424645197675,-0.03821138169277177,-0.14357150109861425,0.0671487377130707,-0.8812580199022759,0.41114649739374864,5,5,True
freesolv,reg,mat_large_pretrained,mae,0.3132113844019094,0.3408053902173905,-0.027594005815481104,-0.1427832603468924,0.08759524871593019,-0.5755468488638927,0.5843052519538132,5,5,True
freesolv,reg,mat_large_pretrained,r2,0.8108657386253373,0.6856206426240702,0.1252450960012671,-0.032197354374860626,0.2826875463773948,2.037482643090188,0.09649697344016848,5,5,True
