task,task_type,split,metric,ablation,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm,component,contribution,contribution_ci95_low,contribution_ci95_high
bbbp,clf,random,roc_auc,mat_nograph,mat,0.882581239452612,0.8917401020124963,25,-0.00915886255988418,-0.016632924696072075,-0.001684800423696284,-2.5291418400135273,0.01841689063785243,81.0,0.02747941017150879,True,0.03683378127570486,0.05495882034301758,True,True,True,False,graph structure,0.00915886255988418,0.001684800423696284,0.016632924696072075
bbbp,clf,random,roc_auc,mat_nodistance,mat,0.8866369351142127,0.8917401020124963,25,-0.0051031668982834824,-0.014778202720671804,0.004571868924104838,-1.0886180696863854,0.28713362644360624,125.0,0.475050524053953,True,0.28713362644360624,0.475050524053953,False,False,False,False,3D distances,0.0051031668982834824,-0.004571868924104838,0.014778202720671804
bbbp,clf,random,roc_auc,mat_noattention,mat,0.8551164435273121,0.8917401020124963,25,-0.036623658485184035,-0.047604780853005936,-0.025642536117362134,-6.883405314799341,4.0524010830622005e-07,13.0,5.245208740234375e-06,True,1.2157203249186603e-06,1.5735626220703125e-05,True,True,True,True,self-attention,0.036623658485184035,0.025642536117362134,0.047604780853005936
bbbp,clf,random,pr_auc,mat_nograph,mat,0.9494405162219386,0.9539254046036361,25,-0.004484888381697329,-0.008348780156995729,-0.0006209966063989293,-2.395604022665073,0.02474682429239479,99.0,0.09031611680984497,True,0.04949364858478958,0.18063223361968994,True,False,True,False,graph structure,0.004484888381697329,0.0006209966063989293,0.008348780156995729
bbbp,clf,random,pr_auc,mat_nodistance,mat,0.9518671968146531,0.953925404603636,25,-0.0020582077889825536,-0.0069308519187275,0.0028144363407623936,-0.8717919844138163,0.39195987704645197,130.0,0.39571136236190796,True,0.39195987704645197,0.39571136236190796,False,False,False,False,3D distances,0.0020582077889825536,-0.0028144363407623936,0.0069308519187275
bbbp,clf,random,pr_auc,mat_noattention,mat,0.9352929787149626,0.9539254046036361,25,-0.018632425888673153,-0.024468254290293416,-0.012796597487052893,-6.589542108639869,8.14607351136893e-07,17.0,1.233816146850586e-05,True,2.443822053410679e-06,3.701448440551758e-05,True,True,True,True,self-attention,0.018632425888673153,0.012796597487052893,0.024468254290293416
bbbp,clf,random,f1,mat_nograph,mat,0.9122977230973914,0.9182185461545465,25,-0.005920823057154832,-0.011149761174986393,-0.0006918849393232705,-2.3369904014820313,0.028113821139375546,77.0,0.02027493715286255,True,0.05622764227875109,0.0405498743057251,True,True,False,True,graph structure,0.005920823057154832,0.0006918849393232705,0.011149761174986393
bbbp,clf,random,f1,mat_nodistance,mat,0.9123280515166644,0.9182185461545462,25,-0.00589049463788208,-0.011658831067023548,-0.00012215820874061315,-2.107606510082118,0.04569739683820447,82.0,0.029578447341918945,True,0.05622764227875109,0.0405498743057251,True,True,False,True,3D distances,0.00589049463788208,0.00012215820874061315,0.011658831067023548
bbbp,clf,random,f1,mat_noattention,mat,0.9076581837337403,0.9182185461545462,25,-0.010560362420806092,-0.018297801209429535,-0.002822923632182647,-2.816890369797665,0.00954680818474537,70.0,0.011453330516815186,True,0.028640424554236113,0.03435999155044556,True,True,True,True,self-attention,0.010560362420806092,0.002822923632182647,0.018297801209429535
bbbp,clf,scaffold,roc_auc,mat_nograph,mat,0.8745758973316985,0.876468534700169,25,-0.0018926373684705843,-0.009044652661966511,0.005259377925025342,-0.5461693497806425,0.5899911761176738,150.0,0.7509929537773132,True,0.8126915311887621,1.0,False,False,False,False,graph structure,0.0018926373684705843,-0.005259377925025342,0.009044652661966511
bbbp,clf,scaffold,roc_auc,mat_nodistance,mat,0.8732525160854077,0.876468534700169,25,-0.0032160186147612447,-0.011069216378998192,0.004637179149475703,-0.845201711766596,0.40634576559438107,149.0,0.7309892177581787,True,0.8126915311887621,1.0,False,False,False,False,3D distances,0.0032160186147612447,-0.004637179149475703,0.011069216378998192
bbbp,clf,scaffold,roc_auc,mat_noattention,mat,0.8504023620764071,0.876468534700169,25,-0.026066172623762037,-0.037462154268512224,-0.014670190979011849,-4.72078122467961,8.44615355627526e-05,22.0,3.1948089599609375e-05,True,0.0002533846066882578,9.584426879882812e-05,True,True,True,True,self-attention,0.026066172623762037,0.014670190979011849,0.037462154268512224
