task,task_type,split,model,metric,n,mean,std,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high,median,min,max
bbbp,clf,random,svm,roc_auc,25,0.9211432040828076,0.014531322437328199,0.9151449689874167,0.9271414391781985,0.915754089014895,0.9264022316954819,0.9191076482046382,0.8928311763850516,0.9525592554893122
bbbp,clf,random,svm,pr_auc,25,0.9696771866741204,0.0073604660490948414,0.9666389356157926,0.9727154377324482,0.966811050103592,0.9723643404583079,0.9683361447748786,0.9546410972591196,0.984771494945362
bbbp,clf,random,svm,f1,25,0.9339992889621875,0.008689841680844832,0.9304122986130133,0.9375862793113617,0.9306007065902742,0.9371860082844309,0.9337641357027464,0.919093851132686,0.9490968801313628
bbbp,clf,random,rf,roc_auc,25,0.9214582782523286,0.016209672665001326,0.9147672542327772,0.9281493022718801,0.9155461635634056,0.927773746860872,0.9168605496582812,0.8908499345644902,0.9550312636323978
bbbp,clf,random,rf,pr_auc,25,0.9684724759806157,0.00856095455921602,0.9649386876204299,0.9720062643408015,0.9653717588252264,0.9718489561792828,0.965361196039867,0.9571157470477072,0.9850605122579916
bbbp,clf,random,rf,f1,25,0.9321324303285828,0.00752652759899537,0.9290256324314589,0.9352392282257068,0.9292018701455413,0.9350516622189159,0.9320695102685624,0.9213836477987422,0.9468599033816424
bbbp,clf,scaffold,svm,roc_auc,25,0.9040893660511796,0.028619656701009466,0.8922757523912794,0.9159029797110798,0.8924494965064558,0.9140265924482894,0.9110091743119266,0.8463122090941639,0.9503308519437552
bbbp,clf,scaffold,svm,pr_auc,25,0.9627856104183087,0.013904297778833315,0.9570461983810723,0.9685250224555451,0.9570742013614897,0.9677602069311152,0.9654153014257036,0.9345730905829128,0.983678918520286
bbbp,clf,scaffold,svm,f1,25,0.921020560357166,0.015894337139424213,0.9144597004451482,0.9275814202691837,0.9148611562646491,0.9268104575649897,0.9225352112676056,0.8880994671403197,0.9551282051282052
bbbp,clf,scaffold,rf,roc_auc,25,0.901747254508572,0.024525297732856284,0.8916237091657038,0.9118707998514402,0.8918627443756364,0.9109789640256833,0.9022836538461538,0.8532044396706051,0.9412398182957392
bbbp,clf,scaffold,rf,pr_auc,25,0.9608905258405399,0.011996390226475983,0.9559386593339094,0.9658423923471704,0.9562606916873564,0.96554919360739,0.96020970046049,0.9375194270463832,0.9825740745343002
bbbp,clf,scaffold,rf,f1,25,0.9167719431570787,0.018217250040208813,0.9092522319261177,0.9242916543880396,0.9098830346402598,0.9237831157167604,0.9174041297935104,0.8827361563517915,0.9605055292259084
esol,reg,random,svm,rmse,25,0.4854102718986588,0.03378060916770105,0.47146632176423153,0.4993542220330861,0.4723116764965912,0.4995333457069269,0.4836107264196014,0.4348030385673555,0.5571367004215486
esol,reg,random,svm,mae,25,0.36601921284309286,0.02383319678017448,0.35618135273237295,0.37585707295381277,0.356593898144233,0.37567916886981284,0.3676249479038684,0.3174235245531066,0.4080898956545802
