run_key,tag,model,task,task_type,split,seed,fold,roc_auc,pr_auc,f1,rmse,mae,r2,val_roc_auc,val_pr_auc,val_f1,val_rmse,val_mae,val_r2,best_epoch,epochs_run,n_params,wall_time_s,n_train,n_val,n_test,config,cfg_hash,max_epochs,patience,device,torch_version,error
mat_large_pretrained|bbbp|random|42|0||b280a186bf,,mat_large_pretrained,bbbp,clf,random,42,0,0.8854515050167224,0.9510287703135052,0.9289099526066352,,,,0.8554054054054053,0.9252822388753756,0.900763358778626,,,,6,12,42049537,54.4,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_scratch|bbbp|random|42|0||b280a186bf,,mat_large_scratch,bbbp,clf,random,42,0,0.8824705540206486,0.9485898371723532,0.9115191986644408,,,,0.8405405405405405,0.9205861714221046,0.9083665338645418,,,,14,15,42049537,71.6,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_pretrained|bbbp|random|123|0||b280a186bf,,mat_large_pretrained,bbbp,clf,random,123,0,0.8639304929475063,0.9369302762441652,0.915625,,,,0.879954954954955,0.9520555518390604,0.9140625,,,,2,8,42049537,39.4,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_scratch|bbbp|random|123|0||b280a186bf,,mat_large_scratch,bbbp,clf,random,123,0,0.8538970481314527,0.9305560169331368,0.9046052631578948,,,,0.8630630630630631,0.9456762346495466,0.9149797570850202,,,,10,15,42049537,73.0,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_pretrained|bbbp|random|456|0||b280a186bf,,mat_large_pretrained,bbbp,clf,random,456,0,0.8211065871746401,0.92704466011174,0.896875,,,,0.9076576576576576,0.9552814385306506,0.9296875,,,,14,15,42049537,75.2,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_scratch|bbbp|random|456|0||b280a186bf,,mat_large_scratch,bbbp,clf,random,456,0,0.8220154136978334,0.9201256383328704,0.8955696202531646,,,,0.8943693693693693,0.9524447050403596,0.9402390438247012,,,,14,15,42049537,75.0,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_pretrained|bbbp|random|789|0||b280a186bf,,mat_large_pretrained,bbbp,clf,random,789,0,0.8811618438272504,0.9512823256788449,0.8904109589041096,,,,0.8391891891891892,0.9343145770095826,0.8907563025210085,,,,13,15,42049537,75.0,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_scratch|bbbp|random|789|0||b280a186bf,,mat_large_scratch,bbbp,clf,random,789,0,0.8546241093500073,0.9405231640227956,0.8866666666666667,,,,0.7806306306306307,0.911597259788366,0.8925619834710744,,,,13,15,42049537,75.0,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_pretrained|bbbp|random|1011|0||b280a186bf,,mat_large_pretrained,bbbp,clf,random,1011,0,0.8515340991711502,0.9186367068969342,0.9142857142857144,,,,0.8477477477477477,0.923729915208132,0.9254901960784314,,,,3,9,42049537,43.6,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
mat_large_scratch|bbbp|random|1011|0||b280a186bf,,mat_large_scratch,bbbp,clf,random,1011,0,0.8255416606078231,0.910774013965116,0.8823529411764706,,,,0.8698198198198198,0.9275820753709252,0.9069767441860463,,,,3,9,42049537,43.5,1405,157,391,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 0.0001}",b280a186bf,15,5,cuda,2.10.0+cu128,
